iter	RMSE
0	78352.49655
1	76463.48029
2	74397.20505
3	72494.15913
4	70640.66873
5	68859.10112
6	67324.26446
7	65706.19613
8	64180.35164
9	62644.25067
10	61239.70652
11	60000.81008
12	58561.27429
13	57165.66143
14	56052.50886
15	55106.09489
16	53883.49453
17	52727.16801
18	51712.97061
19	50536.2357
20	49524.64014
21	48602.77636
22	47586.60464
23	46675.9123
24	45850.93825
25	44978.40848
26	44184.08989
27	43483.1559
28	42697.38797
29	41979.48322
30	41349.22153
31	40701.70367
32	39938.16099
33	39292.43577
34	38740.89532
35	38094.25012
36	37538.61839
37	37017.4302
38	36441.51481
39	35932.89399
40	35395.81323
41	34865.28523
42	34362.29662
43	33863.86503
44	33364.71338
45	32928.63543
46	32515.1159
47	32142.90314
48	31779.82005
49	31423.25143
50	31116.20879
51	30808.30766
52	30492.93825
53	30155.6557
54	29864.21326
55	29568.21469
56	29288.52889
57	29008.35418
58	28740.6951
59	28449.26762
60	28173.8895
61	27923.24627
62	27755.34143
63	27546.44801
64	27336.36329
65	27119.90757
66	26872.63311
67	26662.386
68	26500.24709
69	26290.8494
70	26112.31048
71	25971.05694
72	25750.4789
73	25572.78855
74	25374.40876
75	25240.37313
76	25064.28918
77	24908.22166
78	24728.07043
79	24605.35084
80	24452.6921
81	24312.88154
82	24169.68306
83	24022.65916
84	23881.54673
85	23765.20082
86	23610.68581
87	23472.49177
88	23363.71433
89	23200.90621
90	23112.49001
91	22967.16334
92	22843.86514
93	22720.72498
94	22640.13484
95	22556.83592
96	22475.43072
97	22337.72059
98	22206.61174
99	22122.90435
100	22022.10309
101	21886.25304
102	21771.37881
103	21734.97204
104	21663.70089
105	21581.96141
106	21501.37191
107	21412.11652
108	21328.35489
109	21208.77419
110	21183.976
111	21112.41928
112	20998.41042
113	20915.32575
114	20841.73087
115	20776.28529
116	20692.15488
117	20615.72258
118	20558.15096
119	20491.09835
120	20417.76715
121	20368.27745
122	20324.53962
123	20262.39845
124	20199.30073
125	20127.24074
126	20058.9305
127	19946.87703
128	19903.82063
129	19824.84739
130	19768.86748
131	19694.14945
