iter	Passed	Remaining
0	10	10759
1	22	11012
2	34	11335
3	45	11375
4	57	11488
5	68	11386
6	81	11509
7	93	11557
8	105	11670
9	117	11661
10	129	11668
11	141	11662
12	154	11707
13	166	11719
14	181	11891
15	195	11995
16	210	12178
17	237	12934
18	252	13024
19	268	13141
20	282	13190
21	298	13285
22	314	13377
23	330	13423
24	345	13468
25	360	13516
26	374	13511
27	391	13579
28	406	13615
29	420	13609
30	437	13665
31	452	13694
32	468	13720
33	484	13752
34	501	13825
35	516	13831
36	532	13863
37	547	13867
38	563	13873
39	579	13919
40	594	13895
41	609	13905
42	625	13912
43	639	13904
44	655	13910
45	671	13922
46	685	13905
47	701	13908
48	716	13914
49	731	13900
50	747	13902
51	762	13896
52	777	13889
53	791	13872
54	807	13867
55	821	13855
56	834	13808
57	847	13771
58	862	13762
59	876	13729
60	891	13723
61	904	13687
62	917	13644
63	928	13586
64	942	13550
65	955	13527
66	969	13497
67	982	13464
68	996	13451
69	1009	13413
70	1023	13390
71	1036	13361
72	1049	13332
73	1062	13296
74	1074	13257
75	1086	13211
76	1099	13177
77	1112	13147
78	1124	13112
79	1137	13082
80	1150	13054
81	1163	13022
82	1176	12993
83	1195	13040
84	1209	13022
85	1222	12994
86	1234	12958
87	1248	12941
88	1264	12940
89	1276	12911
90	1288	12870
91	1300	12833
92	1314	12821
93	1330	12821
94	1345	12815
95	1366	12871
96	1384	12890
97	1400	12886
98	1415	12877
99	1428	12853
100	1440	12824
101	1454	12807
102	1466	12773
103	1478	12739
104	1491	12710
105	1504	12691
106	1517	12664
107	1530	12639
108	1543	12616
109	1556	12589
110	1568	12563
111	1581	12542
112	1594	12514
113	1606	12487
114	1620	12472
115	1632	12441
116	1645	12421
117	1660	12411
118	1674	12394
119	1688	12381
120	1702	12366
121	1716	12353
122	1728	12327
123	1741	12303
124	1755	12285
125	1782	12361
126	1795	12345
127	1810	12335
128	1823	12314
129	1838	12304
130	1854	12299
131	1870	12296
132	1885	12293
133	1901	12286
134	1914	12267
135	1930	12262
136	1946	12259
137	1960	12247
138	1976	12240
139	1991	12232
140	2004	12212
141	2019	12205
142	2034	12192
143	2049	12185
144	2065	12180
145	2082	12178
146	2096	12162
147	2110	12150
148	2125	12142
149	2140	12132
150	2155	12117
151	2170	12111
152	2188	12113
153	2205	12117
154	2219	12102
155	2235	12095
156	2251	12088
157	2265	12075
158	2280	12061
159	2295	12050
160	2310	12040
161	2324	12025
162	2343	12032
163	2358	12024
164	2372	12008
165	2388	12001
166	2403	11987
167	2419	11982
168	2434	11973
169	2451	11967
170	2465	11954
171	2478	11931
172	2490	11907
173	2502	11878
174	2513	11851
175	2524	11820
176	2535	11790
177	2546	11761
178	2558	11736
179	2571	11715
180	2583	11689
181	2595	11663
182	2607	11639
183	2620	11621
184	2635	11608
185	2649	11593
186	2660	11568
187	2672	11543
188	2683	11516
189	2695	11492
190	2706	11465
191	2718	11440
192	2729	11414
193	2741	11391
194	2753	11367
195	2765	11343
196	2776	11318
197	2790	11303
198	2802	11279
199	2814	11259
200	2826	11234
201	2837	11210
202	2851	11196
203	2864	11176
204	2875	11150
205	2886	11127
206	2901	11114
207	2915	11099
208	2930	11090
209	2948	11093
210	2972	11116
211	2989	11110
212	3006	11108
213	3020	11092
214	3045	11119
215	3066	11129
216	3081	11117
217	3098	11113
218	3110	11094
219	3128	11091
220	3143	11079
221	3158	11067
222	3170	11048
223	3191	11054
224	3203	11035
225	3218	11023
226	3232	11005
227	3260	11040
228	3273	11020
229	3284	10997
230	3297	10977
231	3311	10962
232	3325	10945
233	3337	10925
234	3351	10909
235	3363	10890
236	3377	10872
237	3391	10857
238	3404	10841
239	3417	10821
240	3430	10803
241	3442	10783
242	3456	10768
243	3471	10756
244	3487	10746
245	3502	10736
246	3518	10725
247	3533	10715
248	3551	10712
249	3567	10701
250	3613	10783
251	3628	10771
252	3644	10761
253	3659	10747
254	3675	10736
255	3689	10722
256	3704	10710
257	3721	10703
258	3736	10691
259	3752	10681
260	3767	10668
261	3782	10655
262	3798	10644
263	3813	10632
264	3828	10618
265	3844	10609
266	3859	10595
267	3874	10582
268	3888	10566
269	3903	10553
270	3919	10543
271	3935	10532
272	3950	10520
273	3967	10513
274	3984	10503
275	3999	10491
276	4014	10479
277	4029	10466
278	4046	10458
279	4062	10445
280	4075	10427
281	4091	10417
282	4104	10399
283	4117	10380
284	4132	10366
285	4145	10349
286	4159	10334
287	4172	10315
288	4184	10295
289	4198	10278
290	4211	10262
291	4223	10240
292	4237	10224
293	4250	10208
294	4264	10191
295	4276	10171
296	4293	10162
297	4306	10145
298	4326	10142
299	4339	10126
300	4354	10111
301	4368	10096
302	4382	10080
303	4395	10062
304	4407	10044
305	4420	10026
306	4434	10010
307	4447	9991
308	4460	9973
309	4473	9958
310	4486	9940
311	4500	9925
312	4516	9912
313	4529	9894
314	4541	9875
315	4552	9855
316	4564	9834
317	4576	9815
318	4587	9793
319	4598	9771
320	4609	9750
321	4621	9730
322	4633	9711
323	4645	9691
324	4655	9669
325	4666	9648
326	4677	9626
327	4691	9611
328	4702	9590
329	4712	9568
330	4725	9549
331	4739	9535
332	4751	9518
333	4764	9500
334	4785	9500
335	4800	9485
336	4813	9470
337	4826	9452
338	4841	9440
339	4855	9425
340	4885	9441
341	4900	9428
342	4916	9418
343	4934	9409
344	4949	9397
345	4964	9384
346	4976	9365
347	4990	9350
348	5004	9334
349	5017	9318
350	5031	9303
351	5054	9305
352	5070	9294
353	5087	9283
354	5102	9271
355	5118	9259
356	5133	9246
357	5148	9232
358	5163	9219
359	5178	9205
360	5191	9189
361	5207	9178
362	5222	9164
363	5237	9151
364	5252	9138
365	5267	9125
366	5281	9109
367	5295	9094
368	5317	9092
369	5331	9078
370	5346	9064
371	5361	9050
372	5376	9037
373	5394	9028
374	5411	9019
375	5431	9014
376	5447	9001
377	5464	8991
378	5480	8979
379	5497	8969
380	5512	8956
381	5528	8943
382	5543	8929
383	5559	8918
384	5576	8907
385	5593	8897
386	5608	8884
387	5626	8874
388	5642	8862
389	5657	8849
390	5672	8835
391	5686	8820
392	5703	8808
393	5715	8790
394	5728	8773
395	5739	8753
396	5752	8738
397	5765	8720
398	5779	8705
399	5792	8688
400	5805	8672
401	5818	8655
402	5831	8638
403	5843	8620
404	5856	8604
405	5868	8586
406	5882	8570
407	5894	8553
408	5908	8537
409	5921	8520
410	5933	8503
411	5946	8487
412	5959	8470
413	5973	8454
414	5987	8439
415	5999	8423
416	6012	8405
417	6025	8389
418	6038	8373
419	6052	8358
420	6065	8341
421	6079	8327
422	6093	8311
423	6108	8298
424	6122	8283
425	6136	8268
426	6149	8252
427	6162	8235
428	6175	8219
429	6187	8202
430	6200	8186
431	6215	8172
432	6228	8156
433	6241	8139
434	6253	8122
435	6268	8108
436	6281	8093
437	6295	8078
438	6308	8061
439	6323	8047
440	6336	8031
441	6349	8015
442	6362	7999
443	6374	7982
444	6385	7964
445	6396	7945
446	6409	7929
447	6420	7911
448	6432	7894
449	6461	7897
450	6472	7879
451	6484	7861
452	6495	7843
453	6506	7825
454	6519	7808
455	6530	7790
456	6542	7773
457	6553	7755
458	6565	7737
459	6576	7720
460	6588	7703
461	6599	7685
462	6611	7668
463	6622	7650
464	6634	7632
465	6646	7616
466	6658	7599
467	6670	7582
468	6684	7567
469	6695	7550
470	6707	7533
471	6722	7519
472	6736	7505
473	6751	7492
474	6764	7476
475	6780	7464
476	6795	7450
477	6809	7436
478	6822	7420
479	6838	7408
480	6852	7394
481	6867	7380
482	6881	7366
483	6896	7351
484	6911	7338
485	6926	7325
486	6941	7311
487	6955	7298
488	6971	7285
489	6987	7272
490	7001	7258
491	7018	7246
492	7035	7235
493	7050	7222
494	7066	7209
495	7081	7195
496	7096	7181
497	7110	7167
498	7124	7153
499	7139	7139
500	7154	7125
501	7168	7111
502	7183	7097
503	7198	7084
504	7213	7070
505	7229	7057
506	7244	7044
507	7257	7028
508	7273	7015
509	7290	7004
510	7307	6992
511	7322	6979
512	7338	6966
513	7352	6952
514	7364	6935
515	7375	6918
516	7387	6901
517	7400	6885
518	7412	6869
519	7425	6854
520	7437	6838
521	7450	6822
522	7462	6805
523	7474	6789
524	7487	6773
525	7499	6757
526	7510	6741
527	7523	6725
528	7535	6709
529	7547	6693
530	7560	6677
531	7573	6662
532	7586	6646
533	7597	6629
534	7610	6614
535	7622	6598
536	7635	6583
537	7648	6568
538	7661	6552
539	7674	6537
540	7689	6524
541	7702	6508
542	7716	6494
543	7728	6478
544	7742	6464
545	7756	6449
546	7769	6433
547	7781	6418
548	7793	6402
549	7805	6386
550	7816	6369
551	7828	6353
552	7840	6337
553	7853	6322
554	7865	6306
555	7878	6291
556	7895	6279
557	7908	6264
558	7925	6252
559	7938	6237
560	7951	6222
561	7964	6207
562	7978	6192
563	7991	6177
